id,disease_category,condition,symptom_keywords,recommended_medicine,dosage,duration,precautions,notes
1,General,Weakness,"tiredness, fatigue",Iron Supplements,5 ml syrup twice daily,10 days,Stay hydrated,Monitor symptoms regularly
2,Musculoskeletal,Arthritis,"joint pain, swelling",Naproxen,5 ml syrup twice daily,10 days,Take with water,Monitor blood sugar levels
3,Cardiac,Hypertension,high blood pressure,Losartan,1 capsule daily,As prescribed,Consult doctor if symptoms persist,Can be taken with meals
4,Musculoskeletal,Back Pain,lower back pain,Ibuprofen,5 ml syrup twice daily,10 days,Take after food,Check blood pressure regularly
5,Neurological,Epilepsy,"seizure, convulsion",Carbamazepine,1 tablet after meal,As prescribed,Avoid alcohol,Avoid spicy and oily food
6,Respiratory,Asthma,"wheezing, shortness of breath",Salbutamol,1 tablet after meal,Continuous,Take with water,Can be taken with meals
7,Respiratory,Bronchitis,"cough, chest congestion",Ambroxol,1 tablet after meal,5 days,Avoid alcohol,Check blood pressure regularly
8,Endocrine,PCOS,"irregular periods, acne",Metformin,5 ml syrup twice daily,As prescribed,Avoid alcohol,Get adequate rest
9,Endocrine,PCOS,"irregular periods, acne",Clomiphene,1 tablet twice daily,5 days,Do not exceed recommended dose,Consult doctor if no improvement in 3 days
10,Neurological,Insomnia,lack of sleep,Zolpidem,5 ml syrup twice daily,10 days,Store in cool dry place,Avoid spicy and oily food
11,Infection,Viral Infection,"fever, sore throat",Paracetamol,1 capsule daily,Continuous,Consult doctor if symptoms persist,Monitor symptoms regularly
12,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 tablet every 8 hours,Continuous,Consult doctor if symptoms persist,Consult doctor if no improvement in 3 days
13,Neurological,Insomnia,lack of sleep,Zolpidem,5 ml syrup twice daily,10 days,Consult doctor if symptoms persist,Avoid spicy and oily food
14,Skin,Fungal Infection,"itching, rashes",Clotrimazole,1 capsule daily,5 days,Do not exceed recommended dose,Check blood pressure regularly
15,Musculoskeletal,Muscle Cramps,stiff muscles,Cyclobenzaprine,1 capsule daily,Continuous,Avoid alcohol,Check blood pressure regularly
16,Endocrine,Diabetes,high blood sugar,Glimepiride,1 tablet twice daily,As prescribed,Avoid alcohol,Consult doctor if no improvement in 3 days
17,Respiratory,Allergic Rhinitis,"sneezing, itchy nose",Fluticasone,5 ml syrup twice daily,5 days,Consult doctor if symptoms persist,Consult doctor if no improvement in 3 days
